0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
23,0,1,0,0,0,0,0
808,0,1,0,0,0,0,0
808,0,1,0,1,0,0,0
2054,0,1,0,1,0,0,0
2054,0,1,1,1,0,0,0
2979,0,1,1,1,0,0,0
2979,0,1,1,1,1,0,0
3025,0,1,1,1,1,0,0
3025,0,1,2,1,1,0,0
3208.0,0,1,2,1,1,0,0
3208.0,0,1,2,0,1,0,0
3333,0,1,2,0,1,0,0
3333,0,1,2,1,1,0,0
3600,0,1,2,1,1,0,0
4404,0,1,2,1,1,0,0
4404,0,1,2,1,1,0,0
4533.0,0,1,2,1,1,0,0
4533.0,0,1,2,0,1,0,0
5425.0,0,1,2,0,1,0,0
5425.0,0,1,1,0,1,0,0
7200,0,1,1,0,1,0,0
9023.0,0,1,1,0,1,0,0
9023.0,0,0,1,0,1,0,0
10454.0,0,0,1,0,1,0,0
10454.0,0,0,0,0,1,0,0
10800,0,0,0,0,1,0,0
14400,0,0,0,0,1,0,0
14670,0,0,0,0,1,0,0
14670,0,0,0,0,1,0,0
16205,0,0,0,0,1,0,0
16205,0,1,0,0,1,0,0
17379.0,0,1,0,0,1,0,0
17379.0,0,1,0,0,0,0,0
18000,0,1,0,0,0,0,0
21600,0,1,0,0,0,0,0
21995,0,1,0,0,0,0,0
21995,0,1,0,1,0,0,0
23195.0,0,1,0,1,0,0,0
23195.0,0,1,0,0,0,0,0
23585,0,1,0,0,0,0,0
23585,0,1,1,0,0,0,0
23922,0,1,1,0,0,0,0
23922,0,2,1,0,0,0,0
24039,0,2,1,0,0,0,0
24039,0,2,1,1,0,0,0
24648,0,2,1,1,0,0,0
24648,1,2,1,1,0,0,0
25155,1,2,1,1,0,0,0
25158,1,2,1,1,0,0,0
25158,1,2,1,2,0,0,0
25158.0,1,2,1,2,0,0,0
25158.0,1,2,1,1,0,0,0
25189,1,2,1,1,0,0,0
25189,1,3,1,1,0,0,0
25197,1,3,1,1,0,0,0
25197,1,3,1,2,0,0,0
25200,1,3,1,2,0,0,0
25216,1,3,1,2,0,0,0
25216,1,3,1,2,0,1,0
25248.0,1,3,1,2,0,1,0
25248.0,1,3,1,2,0,1,0
25248.0,1,3,1,2,0,1,0
25248.0,0,3,1,2,0,1,0
25691,0,3,1,2,0,1,0
25691,0,4,1,2,0,1,0
25905,0,4,1,2,0,1,0
25905,0,4,1,3,0,1,0
26216,0,4,1,3,0,1,0
26216,0,4,1,3,1,1,0
26242,0,4,1,3,1,1,0
26242,0,5,1,3,1,1,0
26252,0,5,1,3,1,1,0
26252,0,5,1,4,1,1,0
26397.0,0,5,1,4,1,1,0
26397.0,0,5,1,3,1,1,0
26480,0,5,1,3,1,1,0
26480,0,5,1,3,2,1,0
26637,0,5,1,3,2,1,0
26637,0,5,1,3,2,1,1
26827,0,5,1,3,2,1,1
26827,0,5,1,3,3,1,1
26893,0,5,1,3,3,1,1
26893,0,6,1,3,3,1,1
27196,0,6,1,3,3,1,1
27196,0,6,1,4,3,1,1
27339,0,6,1,4,3,1,1
27339,0,6,2,4,3,1,1
27452.0,0,6,2,4,3,1,1
27452.0,0,6,2,3,3,1,1
27702,0,6,2,3,3,1,1
27702,0,7,2,3,3,1,1
27720,0,7,2,3,3,1,1
27720,0,7,3,3,3,1,1
27875,0,7,3,3,3,1,1
27875,0,7,3,3,4,1,1
28385.0,0,7,3,3,4,1,1
28385.0,0,7,2,3,4,1,1
28800,0,7,2,3,4,1,1
28816.0,0,7,2,3,4,1,1
28816.0,0,7,2,3,4,0,1
28856,0,7,2,3,4,0,1
28856,0,7,2,3,4,1,1
28944,0,7,2,3,4,1,1
28944,0,7,2,3,4,1,2
28986,0,7,2,3,4,1,2
28986,0,7,2,3,4,1,3
29001,0,7,2,3,4,1,3
29001,0,7,2,3,5,1,3
29227.0,0,7,2,3,5,1,3
29227.0,0,7,2,3,4,1,3
29325,0,7,2,3,4,1,3
29325,0,8,2,3,4,1,3
29399,0,8,2,3,4,1,3
29399,0,9,2,3,4,1,3
29447,0,9,2,3,4,1,3
