Event: solarUpdate at time 0 with data 0.0
Event: carArrives at time 7095 with data Car ID: 16, chargingVolume: 0, connectionTime: 46354 parkingPlace: 4, amountCharged: 0, carParksVisited: ['4'], arrivalTime: 7095
Event: carBeginsCharging at time 7095 with data Car ID: 16, chargingVolume: 0, connectionTime: 46354 parkingPlace: 4, amountCharged: 0, carParksVisited: ['4'], arrivalTime: 7095
Event: carExpectedStopCharging at time 7095.0 with data Car ID: 16, chargingVolume: 0, connectionTime: 46354 parkingPlace: 4, amountCharged: 0, carParksVisited: ['4'], arrivalTime: 7095
Event: carStopsCharging at time 7095.0 with data Car ID: 16, chargingVolume: 0, connectionTime: 46354 parkingPlace: 4, amountCharged: 0.0, carParksVisited: ['4'], arrivalTime: 7095
Event: solarUpdate at time 7200 with data 0.0
Event: carArrives at time 7369 with data Car ID: 17, chargingVolume: 11, connectionTime: 58105 parkingPlace: 6, amountCharged: 0, carParksVisited: ['6'], arrivalTime: 7369
Event: carBeginsCharging at time 7369 with data Car ID: 17, chargingVolume: 11, connectionTime: 58105 parkingPlace: 6, amountCharged: 0, carParksVisited: ['6'], arrivalTime: 7369
Car 9, succesfully charged
Event: carPlannedLeave at time 7749 with data Car ID: 9, chargingVolume: 6, connectionTime: 5143 parkingPlace: 4, amountCharged: 6.0, carParksVisited: ['4'], arrivalTime: 2606
Event: carLeaves at time 7749 with data Car ID: 9, chargingVolume: 6, connectionTime: 5143 parkingPlace: 4, amountCharged: 6.0, carParksVisited: ['4'], arrivalTime: 2606
Event: carArrives at time 8160 with data Car ID: 18, chargingVolume: 31, connectionTime: 41018 parkingPlace: 5, amountCharged: 0, carParksVisited: ['5'], arrivalTime: 8160
Event: carBeginsCharging at time 8160 with data Car ID: 18, chargingVolume: 31, connectionTime: 41018 parkingPlace: 5, amountCharged: 0, carParksVisited: ['5'], arrivalTime: 8160
Event: carExpectedStopCharging at time 8213.0 with data Car ID: 6, chargingVolume: 11, connectionTime: 50677 parkingPlace: 6, amountCharged: 0, carParksVisited: ['6'], arrivalTime: 1613
Event: carStopsCharging at time 8213.0 with data Car ID: 6, chargingVolume: 11, connectionTime: 50677 parkingPlace: 6, amountCharged: 11.0, carParksVisited: ['6'], arrivalTime: 1613
Event: carExpectedStopCharging at time 8559.0 with data Car ID: 4, chargingVolume: 12, connectionTime: 10286 parkingPlace: 5, amountCharged: 0, carParksVisited: ['5'], arrivalTime: 1359
Event: carStopsCharging at time 8559.0 with data Car ID: 4, chargingVolume: 12, connectionTime: 10286 parkingPlace: 5, amountCharged: 12.0, carParksVisited: ['5'], arrivalTime: 1359
Event: carArrives at time 9486 with data Car ID: 19, chargingVolume: 34, connectionTime: 254103 parkingPlace: 4, amountCharged: 0, carParksVisited: ['4'], arrivalTime: 9486
Event: carArrives at time 10027 with data Car ID: 20, chargingVolume: 17, connectionTime: 60208 parkingPlace: 1, amountCharged: 0, carParksVisited: ['1'], arrivalTime: 10027
Event: carBeginsCharging at time 10027 with data Car ID: 20, chargingVolume: 17, connectionTime: 60208 parkingPlace: 1, amountCharged: 0, carParksVisited: ['1'], arrivalTime: 10027
Event: carArrives at time 10320 with data Car ID: 21, chargingVolume: 7, connectionTime: 49900 parkingPlace: 5, amountCharged: 0, carParksVisited: ['5'], arrivalTime: 10320
